source_page,source_column,source_store_area_sqm,source_open_year,source_open_month,source_name,corrected_name,corrected_prefecture,corrected_municipality,corrected_open_year,corrected_open_month,address,notes
20,left,5058.0,2010.0,2.0,,ハローズ丸亀中府店,香川県,丸亀市,2010.0,2.0,香川県丸亀市中府町1丁目3-1,google_maps_partial_name_match_preferred; corrected_ocr_name_丸中府_to_丸亀中府; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,right,5041.0,2012.0,9.0,,ヤオコー高麗川店,埼玉県,日高市,2012.0,9.0,埼玉県日高市鹿山308-1,google_maps_partial_name_match_preferred; corrected_ocr_name_高路川_to_高麗川; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
14,left,5005.0,1999.0,12.0,,ピアゴ佐屋店,愛知県,愛西市,1999.0,12.0,愛知県愛西市北一色町東田面10-1,google_maps_name_match_preferred; google_maps_location_preferred_over_pdf_ocr; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
17,left,5000.0,2022.0,10.0,,TerrasMa(テラスマ),兵庫県,神戸市須磨区,2022.0,10.0,兵庫県神戸市須磨区高倉台1丁目1-1,google_maps_partial_name_match_preferred; corrected_official_name_to_TerrasMa; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
10,right,4993.0,1986.0,10.0,,パルス北長岡ショッピングセンター,新潟県,長岡市,1986.0,10.0,新潟県長岡市城岡1丁目1-10,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,left,4990.0,2009.0,11.0,,セブンタウンせんげん台,埼玉県,越谷市,2009.0,11.0,埼玉県越谷市千間台東2丁目707,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
1,left,4986.0,1975.0,7.0,,もみじ台ショッピングセンター,北海道,札幌市厚別区,1975.0,7.0,北海道札幌市厚別区もみじ台北7丁目1-1,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
7,right,4982.0,2011.0,5.0,,フレル・ウィズ自由が丘,東京都,目黒区,2011.0,5.0,東京都目黒区自由が丘1丁目6-9,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
11,right,4978.0,2003.0,11.0,,ピアゴ丸岡店,福井県,坂井市,2003.0,11.0,福井県坂井市丸岡町一本田弐字小深町11-3,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
5,right,4950.0,1972.0,10.0,,シャポー本八幡,千葉県,市川市,1972.0,10.0,千葉県市川市八幡2丁目17-1,google_maps_partial_name_match_preferred; corrected_ocr_name_シャボー_to_シャポー; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,left,4854.0,1988.0,7.0,,ピュア高山,岐阜県,高山市,1988.0,7.0,岐阜県高山市西之一色町3丁目1135,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
11,left,4844.0,1998.0,12.0,,ガイナシティ,富山県,中新川郡上市町,1998.0,12.0,富山県中新川郡上市町正印257,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
13,right,4824.0,1988.0,12.0,,ピアゴ東刈谷店,愛知県,刈谷市,1988.0,12.0,愛知県刈谷市松栄町2丁目14-17,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
20,left,4823.0,2006.0,12.0,,高松丸亀町壱番街,香川県,高松市,2006.0,12.0,香川県高松市丸亀町1-1,google_maps_partial_name_match_preferred; corrected_ocr_name_丸毛町_to_丸亀町; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
12,right,4820.0,2000.0,9.0,,沼津卸団地食遊市場,静岡県,駿東郡清水町,2000.0,9.0,静岡県駿東郡清水町卸団地372-15,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
6,right,4818.0,2010.0,9.0,,ライフガーデン新浦安,千葉県,浦安市,2010.0,9.0,千葉県浦安市富岡3丁目2-2,google_maps_name_match_preferred; gsi_address_geocoded; policy=google_maps_partial_or_full_name_match_preferred
