match_key,name,prefecture,municipality,address,lat,lon,source_url,source_type,confidence,verified_at,notes
,アピタ阿久比店,愛知県,知多郡阿久比町,"アピタ阿久比店, 阿久比半田線, 大字椋岡, 阿久比町, 知多郡, 愛知県, 475-2216, 日本",34.9208663,136.9209981,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%94%E3%82%BF%E9%98%BF%E4%B9%85%E6%AF%94%E5%BA%97+%E6%84%9B%E7%9F%A5%E7%9C%8C+%E7%9F%A5%E5%A4%9A%E9%83%A1%E9%98%BF%E4%B9%85%E6%AF%94%E7%94%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:アピタ阿久比店;query:アピタ阿久比店 愛知県 知多郡阿久比町
,プレンティ,大阪府,門真市,"プレンティ, まるたす広場, 津雲台一丁目, 吹田市, 大阪府, 565-0862, 日本",34.7932176,135.5087787,https://nominatim.openstreetmap.org/search?q=%E3%83%97%E3%83%AC%E3%83%B3%E3%83%86%E3%82%A3+%E5%A4%A7%E9%98%AA%E5%BA%9C&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:プレンティ;query:プレンティ 大阪府
,ギャラリエアピタ知立店,愛知県,知立市,"ヒマラヤスポーツ ギャラリエアピタ知立店, 安城八ツ田知立線, 新池三丁目, 長篠町, 知立市, 愛知県, 472-0045, 日本",34.9975953,137.0528021,https://nominatim.openstreetmap.org/search?q=%E3%82%AE%E3%83%A3%E3%83%A9%E3%83%AA%E3%82%A8%E3%82%A2%E3%83%94%E3%82%BF%E7%9F%A5%E7%AB%8B%E5%BA%97+%E6%84%9B%E7%9F%A5%E7%9C%8C+%E7%9F%A5%E7%AB%8B%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ヒマラヤスポーツ ギャラリエアピタ知立店;query:ギャラリエアピタ知立店 愛知県 知立市
,ニトリモール相模原,神奈川県,相模原市南区,"ニトリモール相模原, 南区, 相模原市, 神奈川県, 日本",35.5553795,139.4100679,https://nominatim.openstreetmap.org/search?q=%E3%83%8B%E3%83%88%E3%83%AA%E3%83%A2%E3%83%BC%E3%83%AB%E7%9B%B8%E6%A8%A1%E5%8E%9F+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C+%E7%9B%B8%E6%A8%A1%E5%8E%9F%E5%B8%82%E5%8D%97%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ニトリモール相模原;query:ニトリモール相模原 神奈川県 相模原市南区
,イオン相模原ショッピングセンター,神奈川県,横浜市南区,"イオン相模原ショッピングセンター, 南区, 相模原市, 神奈川県, 日本",35.5538050,139.4168545,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E7%9B%B8%E6%A8%A1%E5%8E%9F%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E7%A5%9E%E5%A5%88%E5%B7%9D%E7%9C%8C&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:イオン相模原ショッピングセンター;query:イオン相模原ショッピングセンター 神奈川県
,ヴェルサウォーク西尾,愛知県,西尾市,"ヴェルサウォーク西尾, 若松町, 西尾市, 愛知県, 日本",34.8634114,137.0596926,https://nominatim.openstreetmap.org/search?q=%E3%83%B4%E3%82%A7%E3%83%AB%E3%82%B5%E3%82%A6%E3%82%A9%E3%83%BC%E3%82%AF%E8%A5%BF%E5%B0%BE+%E6%84%9B%E7%9F%A5%E7%9C%8C+%E8%A5%BF%E5%B0%BE%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ヴェルサウォーク西尾;query:ヴェルサウォーク西尾 愛知県 西尾市
,イオンタウン仙台泉大沢,宮城県,仙台市泉区,"イオンタウン仙台泉大沢, 泉区, 仙台市, 宮城県, 日本",38.3501337,140.8814286,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E3%82%BF%E3%82%A6%E3%83%B3%E4%BB%99%E5%8F%B0%E6%B3%89%E5%A4%A7%E6%B2%A2+%E5%AE%AE%E5%9F%8E%E7%9C%8C+%E4%BB%99%E5%8F%B0%E5%B8%82%E6%B3%89%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:イオンタウン仙台泉大沢;query:イオンタウン仙台泉大沢 宮城県 仙台市泉区
,イオン京都洛南ショッピングセンター,京都府,京都市南区,"イオン京都洛南ショッピングセンター, 西大路通, 吉祥院九条町, 南区, 京都市, 京都府, 601-8330, 日本",34.9754930,135.7364927,https://nominatim.openstreetmap.org/search?q=%E3%82%A4%E3%82%AA%E3%83%B3%E4%BA%AC%E9%83%BD%E6%B4%9B%E5%8D%97%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E4%BA%AC%E9%83%BD%E5%BA%9C+%E4%BA%AC%E9%83%BD%E5%B8%82%E5%8D%97%E5%8C%BA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:イオン京都洛南ショッピングセンター;query:イオン京都洛南ショッピングセンター 京都府 京都市南区
,ビオルネ,大阪府,枚方市,"ビオルネ前広場, 枚方市, 大阪府, 日本",34.8155837,135.6471412,https://nominatim.openstreetmap.org/search?q=%E3%83%93%E3%82%AA%E3%83%AB%E3%83%8D+%E5%A4%A7%E9%98%AA%E5%BA%9C+%E6%9E%9A%E6%96%B9%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ビオルネ前広場;query:ビオルネ 大阪府 枚方市
,ゆめタウン中津,大分県,中津市,"ゆめタウン中津, 中津高田線, 蛭子町一丁目, 島田本町, 中津市, 大分県, 871-0007, 日本",33.6024135,131.1945099,https://nominatim.openstreetmap.org/search?q=%E3%82%86%E3%82%81%E3%82%BF%E3%82%A6%E3%83%B3%E4%B8%AD%E6%B4%A5+%E5%A4%A7%E5%88%86%E7%9C%8C+%E4%B8%AD%E6%B4%A5%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,osm_nominatim_low_confidence_batch,medium,2026-07-16,low_confidence_batch_name_prefecture_match:ゆめタウン中津;query:ゆめタウン中津 大分県 中津市
