source,source_url,page,column,prefecture,municipality,district,name,store_area_raw,store_area_sqm,open_date_raw,open_year,open_month,ocr_confidence_avg,parse_warnings,match_key,lat,lon,address,coordinate_source,coordinate_confidence,coordinate_source_url,coordinate_notes,query,candidate_status,candidate_name,candidate_display_name,candidate_lat,candidate_lon,candidate_url,unresolved_reason
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,7,left,千葉県,流山市,新宿区,新宿マルイメン,"6,590",6590.0,2017年5月,2017.0,5.0,1.0,prefecture_inferred_from_municipality,千葉県|新宿マルイメン,35.86814102238806,139.91512308208954,,municipality_representative,low,,,新宿マルイメン 千葉県 流山市 / 新宿マルイメン 千葉県 / 新宿マルイメン,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E6%96%B0%E5%AE%BF%E3%83%9E%E3%83%AB%E3%82%A4%E3%83%A1%E3%83%B3&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,7,right,東京都,渋谷区,渋谷区,東急プラザ表参道原宿,"6,589",6589.0,2012年4月,2012.0,4.0,1.0,municipality_missing,東京都|東急プラザ表参道原宿,35.6654809125,139.6970510125,,municipality_representative,low,,,東急プラザ表参道原宿 東京都 渋谷区 / 東急プラザ表参道原宿 東京都 / 東急プラザ表参道原宿,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E6%9D%B1%E6%80%A5%E3%83%97%E3%83%A9%E3%82%B6%E8%A1%A8%E5%8F%82%E9%81%93%E5%8E%9F%E5%AE%BF&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,8,left,千葉県,流山市,江戸川区,シャポー小岩,"6,582",6582.0,1972年7月,1972.0,7.0,0.875,prefecture_inferred_from_municipality,千葉県|シャポー小岩,35.86814102238806,139.91512308208954,,municipality_representative,low,,,シャポー小岩 千葉県 流山市 / シャポー小岩 千葉県 / シャポー小岩,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%82%B7%E3%83%A3%E3%83%9D%E3%83%BC%E5%B0%8F%E5%B2%A9&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,7,left,千葉県,流山市,台東区,アトレ上野,6.581,6581.0,2002年2月,2002.0,2.0,0.8333,prefecture_inferred_from_municipality,千葉県|アトレ上野,35.86814102238806,139.91512308208954,,municipality_representative,low,,,アトレ上野 千葉県 流山市 / アトレ上野 千葉県 / アトレ上野,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%83%88%E3%83%AC%E4%B8%8A%E9%87%8E&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,15,right,京都府,八幡市,,ファミレYAWATA,"6,577",6577.0,1983年11月,1983.0,11.0,0.75,prefecture_inferred_from_municipality,京都府|ファミレyawata,34.866614750708216,135.71727839093484,,municipality_representative,low,,,ファミレYAWATA 京都府 八幡市 / ファミレYAWATA 京都府 / ファミレYAWATA,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%95%E3%82%A1%E3%83%9F%E3%83%ACYAWATA&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,5,left,埼玉県,飯能市,,西武飯能ペペ,6.559,6559.0,1992年10月,1992.0,10.0,0.7,prefecture_inferred_from_municipality,埼玉県|西武飯能ペペ,35.867125277108435,139.28457669879518,,municipality_representative,low,,,西武飯能ペペ 埼玉県 飯能市,added,西武飯能ペペ,"西武飯能ペペ, 材木通り, 八幡町, 大字久下, 飯能市, 埼玉県, 357-0038, 日本",35.8512054,139.3194173,https://nominatim.openstreetmap.org/search?q=%E8%A5%BF%E6%AD%A6%E9%A3%AF%E8%83%BD%E3%83%9A%E3%83%9A+%E5%9F%BC%E7%8E%89%E7%9C%8C+%E9%A3%AF%E8%83%BD%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,13,right,愛知県,一宮市,,ビアゴパワー妙興寺店,"6,559",6559.0,2003年6月,2003.0,6.0,0.7667,,愛知県|ビアゴパワー妙興寺店,35.31081304335951,136.7965661847047,,municipality_representative,low,,,ビアゴパワー妙興寺店 愛知県 一宮市 / ビアゴパワー妙興寺店 愛知県 / ビアゴパワー妙興寺店,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%93%E3%82%A2%E3%82%B4%E3%83%91%E3%83%AF%E3%83%BC%E5%A6%99%E8%88%88%E5%AF%BA%E5%BA%97&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,20,left,広島県,竹原市,,TOKUYAMA DECK(徳山デッキ),6.542,6542.0,2024年4月,2024.0,4.0,0.8333,prefecture_inferred_from_municipality,広島県|tokuyamadeck徳山デッキ,34.34524278846153,132.9301638076923,,municipality_representative,low,,,TOKUYAMA DECK(徳山デッキ) 広島県 竹原市 / TOKUYAMA DECK(徳山デッキ) 広島県 / TOKUYAMA DECK(徳山デッキ),unresolved,,,,,https://nominatim.openstreetmap.org/search?q=TOKUYAMA+DECK%28%E5%BE%B3%E5%B1%B1%E3%83%87%E3%83%83%E3%82%AD%29&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,4,right,埼玉県,川越市,,ヤオコー川越山田ショッピングプラザ,"6,538",6538.0,2000年4月,2000.0,4.0,0.8333,prefecture_inferred_from_municipality,埼玉県|ヤオコー川越山田ショッピングプラザ,35.91131669477912,139.4732263815261,,municipality_representative,low,,,ヤオコー川越山田ショッピングプラザ 埼玉県 川越市 / ヤオコー川越山田ショッピングプラザ 埼玉県 / ヤオコー川越山田ショッピングプラザ,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%A4%E3%82%AA%E3%82%B3%E3%83%BC%E5%B7%9D%E8%B6%8A%E5%B1%B1%E7%94%B0%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%97%E3%83%A9%E3%82%B6&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,6,right,千葉県,鎌ヶ谷市,,ショッピングプラザ鎌ヶ谷,"6,537",6537.0,2013年11月,2013.0,11.0,1.0,,栃木県|ショッピングプラザ鎌ヶ谷,35.767979870588235,140.00015794117647,,municipality_representative,low,,prefecture_inferred_from_municipality,ショッピングプラザ鎌ヶ谷 千葉県 鎌ヶ谷市,added,タイムズ ショッピングプラザ鎌ヶ谷第二,"タイムズ ショッピングプラザ鎌ヶ谷第二, 国道464号, 初富本町二丁目, 北初富, 鎌ケ谷市, 千葉県, 273-0112, 日本",35.7724559,139.9991164,https://nominatim.openstreetmap.org/search?q=%E3%82%B7%E3%83%A7%E3%83%83%E3%83%94%E3%83%B3%E3%82%B0%E3%83%97%E3%83%A9%E3%82%B6%E9%8E%8C%E3%83%B6%E8%B0%B7+%E5%8D%83%E8%91%89%E7%9C%8C+%E9%8E%8C%E3%83%B6%E8%B0%B7%E5%B8%82&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,11,right,山梨県,山梨市,,アクロスプラザ山梨,"6,529",6529.0,2001年11月,2001.0,11.0,0.75,,山梨県|アクロスプラザ山梨,35.72161298181818,138.68758036363636,,municipality_representative,low,,,アクロスプラザ山梨 山梨県 山梨市 / アクロスプラザ山梨 山梨県 / アクロスプラザ山梨,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%82%A2%E3%82%AF%E3%83%AD%E3%82%B9%E3%83%97%E3%83%A9%E3%82%B6%E5%B1%B1%E6%A2%A8&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
jcsc_pdf,https://www.jcsc.or.jp/wpjcsc/wp-content/uploads/2026/05/35212d5b060e16d7f8db21681d51d151.pdf,4,left,栃木県,宇都宮市,,ヨークタウン若松原,"6,526",6526.0,1994年10月,1994.0,10.0,0.8333,,栃木県|ヨークタウン若松原,36.55886943259558,139.88715373239438,,municipality_representative,low,,fuzzy_municipality,ヨークタウン若松原 栃木県 宇都宮市 / ヨークタウン若松原 栃木県 / ヨークタウン若松原,unresolved,,,,,https://nominatim.openstreetmap.org/search?q=%E3%83%A8%E3%83%BC%E3%82%AF%E3%82%BF%E3%82%A6%E3%83%B3%E8%8B%A5%E6%9D%BE%E5%8E%9F&format=jsonv2&limit=5&addressdetails=1&countrycodes=jp,no_name_prefecture_matched_candidate
